,,anthropic,gemini,mistral,openai,perplexity
k3,Access to movies,0.0,0.0,0.0,0.0,0.0
k3,Access to podcasts,0.2656826568265683,0.2590405904059041,0.2656826568265683,0.2656826568265683,0.17601476014760148
k3,Broadcast messages,0.0,0.0,0.0,0.0,0.0
k3,Build photo collage,0.049815498154981555,0.01992619926199262,0.09963099630996311,0.0,0.00996309963099631
k3,Collaborate with others,0.0,0.0,0.0,0.0,0.0
k3,Go Live,0.0,0.0,0.0,0.0,0.0
k3,Keeping up with friends,0.0,0.0,0.0,0.0,0.0
k3,List items for sale,0.0896678966789668,0.0,0.0,0.036531365313653134,0.24907749077490776
k3,Photo effects,0.0,0.0,0.0,0.0,0.0
k3,Play games,0.0,0.0,0.6346863468634687,0.0,0.0
k3,Play playlist on shuffle mode,0.3653136531365314,0.255719557195572,0.3653136531365314,0.2656826568265683,0.06974169741697418
k3,Rate movies,0.5313653136531366,0.6151291512915129,0.5313653136531366,0.6346863468634687,0.09963099630996311
k3,Search for offer on item,0.24907749077490776,0.026568265682656828,0.09963099630996311,0.00996309963099631,0.0
k3,Send files,0.0,0.0,0.0,0.0,0.0
k3,Watch streams,0.11623616236162364,0.00996309963099631,0.1826568265682657,0.026568265682656828,0.0
k3,Write notes,0.0,0.05977859778597786,0.0,0.06642066420664208,0.0
k3,,,,,,
k3,AVERAGE,0.10419741697416976,0.07788284132841328,0.13618542435424355,0.0815959409594096,0.03777675276752768
k10,Access to movies,0.10135324186543067,0.11409418539611019,0.09736573043190964,0.11065743521031306,0.09736573043190964
k10,Access to podcasts,0.3042099713893235,0.3926566921210074,0.2700191574779599,0.338398007929969,0.26275797831300995
k10,Broadcast messages,0.07765670994136899,0.021512546539785266,0.05576380464031022,0.04923742955881581,0.0005948221475418106
k10,Build photo collage,0.1257128737873894,0.040328681654843004,0.1624806118193943,0.11261903106877769,0.039954079913629294
k10,Collaborate with others,0.06938416015685508,0.06938416015685508,0.06938416015685508,0.08520202319148547,0.06938416015685508
k10,Go Live,0.0,0.012234243182773536,0.06251301119653206,0.019926250534583075,0.005948221475418106
k10,Keeping up with friends,0.0,0.003412738161028636,0.0,0.0,0.08001752397957781
k10,List items for sale,0.20062412698343807,0.1385046517358499,0.050621177529846254,0.13349021673640263,0.20100117589507457
k10,Photo effects,0.06938416015685508,0.006113387250965203,0.0,0.004758577180334485,0.03366775841557925
k10,Play games,0.06113236438296156,0.04209536175593221,0.37927021318131116,0.0,0.09946490527562925
k10,Play playlist on shuffle mode,0.3526783356852127,0.24449554638948162,0.3526783356852127,0.2479858086783234,0.11503856938598304
k10,Rate movies,0.43758065458246503,0.47818461649874033,0.4158204111852378,0.4834907327887194,0.20958034806421805
k10,Search for offer on item,0.20233034637291497,0.03671133835329641,0.1388199086171756,0.016856101599426614,0.0
k10,Send files,0.22572063213862434,0.21927488395319386,0.061328021435795355,0.15407989456935964,0.10385968862439836
k10,Watch streams,0.30600835044635044,0.05090005623788525,0.3032496564146715,0.09756003596996413,0.011962534300563082
k10,Write notes,0.09893869281913906,0.20192560981297075,0.1866787630764299,0.20032409672907994,0.1343628203433151
k10,,,,,,
k10,AVERAGE,0.16454466379427057,0.12948929370004492,0.16287456017804008,0.12841160260909712,0.0915600197951689
k20,Access to movies,0.10577058788914821,0.13951635733567266,0.10671675476157719,0.13860167004395713,0.1240776482056418
k20,Access to podcasts,0.2915085123480097,0.37926186019567504,0.28011586079023554,0.3158730153500146,0.24548259847806256
k20,Broadcast messages,0.14189553723963577,0.027321587070992925,0.09851105061678501,0.05479852509625518,0.03426203363973025
k20,Build photo collage,0.15806996212875674,0.05445505615169305,0.18107585864056228,0.15528671907766195,0.05759868225975913
k20,Collaborate with others,0.07196160800934048,0.06973665267286676,0.07141335456064098,0.09975568583796339,0.07382577760814871
k20,Go Live,0.00897691182011048,0.041074884886082984,0.08382220362719986,0.052668570605225076,0.027296860132513857
k20,Keeping up with friends,0.0,0.008721825947505831,0.0,0.01745834108165086,0.12513299345034412
k20,List items for sale,0.19906192719135357,0.15983458976830883,0.08701292086971624,0.16110657725447824,0.18631965879395535
k20,Photo effects,0.09234028378998704,0.04828659777784976,0.023254521081175778,0.06089222910930301,0.06894865208380949
k20,Play games,0.11582529897037286,0.06445442425028682,0.3657929457932626,0.0,0.1374951884105711
k20,Play playlist on shuffle mode,0.34146142328619333,0.2205847866410621,0.3514235025715574,0.2768778331952674,0.11726098961554624
k20,Rate movies,0.37436669293445857,0.4077544840867149,0.34506499494066345,0.41625873599712293,0.20445973619975666
k20,Search for offer on item,0.17132383897794545,0.04222228955433314,0.12122094010254654,0.025657310897857544,0.00915248907145878
k20,Send files,0.2601367491969475,0.2482242347710281,0.09086659530283996,0.18807539611984347,0.1358501217399915
k20,Watch streams,0.3078997806109349,0.08643739589557956,0.3033476529773068,0.12664063976099577,0.04194984601841313
k20,Write notes,0.13017099822934436,0.22893472098629264,0.21251425866042822,0.22246499628975447,0.17348002311102012
k20,,,,,,
k20,AVERAGE,0.17317313203890872,0.13917635924949656,0.1701345884560311,0.14452601535733445,0.11016208117617017
